CBSA Code,CBSA_title,metro_micro_area,user_est,pop_est,inter_cbsa_connections,outer_county_inter_cbsa_connections,outer_cbsa_connections,total inter_cbsa connections,total connections,coverage est,rescaled total inter_cbsa connections,rescaled outer_cbsa_connections,rescaled total connections,normed pop_est
47020,"Victoria, TX",Metropolitan Statistical Area,50125,99181,20425510.483355254,1469457.1000507202,34217529.989417285,21894967.583405975,56112497.572823256,0.5053891370322945,0.2599255136237967,0.3335706365991307,0.30036380876174484,0.28667082423362555
47080,"Vidalia, GA",Micropolitan Statistical Area,18085,35391,7240699.9583815215,2960794.4479498835,20916830.190813575,10201494.406331405,31118324.59714498,0.5110056228984771,0.11977567415311564,0.20166719224824123,0.16474203776601162,0.10229345479932891
47180,"Vincennes, IN",Micropolitan Statistical Area,19253,35963,9074856.485427044,,13436610.806479288,9074856.485427044,22511467.291906334,0.5353557823318411,0.10170159754066811,0.12365517607504581,0.11375623540724658,0.1039467524214706
47220,"Vineland-Bridgeton, NJ",Metropolitan Statistical Area,72640,153196,29096646.24176352,,44993512.14935744,29096646.24176352,74090158.39112096,0.47416381628763155,0.3681671464154362,0.4675053072889137,0.4227134042743319,0.44279472468814085
47240,"Vineyard Haven, MA",Micropolitan Statistical Area,11599,21606,3450773.353628202,,9028530.409533698,3450773.353628202,12479303.7631619,0.5368416180690548,0.038565659835304786,0.08285828662285899,0.06288659572497671,0.06244956018180613
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Metropolitan Statistical Area,935885,1780840,197665504.05531856,311837144.042496,647598181.0091602,509502648.09781456,1157100829.1069746,0.5255300869252713,5.816736197630353,6.0711798103694194,5.9564503496639425,5.147305135340536
47300,"Visalia-Porterville, CA",Metropolitan Statistical Area,212947,476934,70020355.43004633,,85115123.6683419,70020355.43004633,155135479.09838825,0.44649154809680164,0.9408958994202375,0.9392010128819738,0.9399652427889413,1.3785207134939148
47340,"Wabash, IN",Micropolitan Statistical Area,16022,30642,5717135.096737382,,10629512.758783406,5717135.096737382,16346647.855520789,0.5228770967952483,0.06560083128847151,0.10015642133209889,0.08457519228340347,0.08856703800291138
47380,"Waco, TX",Metropolitan Statistical Area,144415,282551,74558395.91277574,5335119.929643912,104409448.86117515,79893515.84241965,184302964.7035948,0.5111112684081812,0.9378353197516242,1.0064435187341838,0.9755078564689443,0.8166798888701983
47420,"Wahpeton, ND-MN",Micropolitan Statistical Area,12134,22795,2943051.461433424,1235492.67065265,9137327.179730328,4178544.132086074,13315871.311816402,0.5323097170432113,0.047096768173612726,0.08457068376590243,0.067673572142059,0.06588622254671252
47460,"Walla Walla, WA",Metropolitan Statistical Area,33866,66832,8430223.991028508,571625.41229108,19701006.455795746,9001849.403319588,28702855.859115332,0.5067333014124971,0.10658173953508235,0.19154641463036862,0.1532355635629656,0.19316990678841373
47540,"Wapakoneta, OH",Micropolitan Statistical Area,23815,46399,7438279.42487322,,16562351.846430115,7438279.42487322,24000631.271303333,0.5132653720985366,0.08694828713384065,0.15898095494608722,0.12650118843785524,0.13411076288418136
47580,"Warner Robins, GA",Metropolitan Statistical Area,106943,207052,40631661.75287601,11511513.692171164,110931654.8694992,52143175.44504718,163074830.31454638,0.516503100670363,0.6056964798611465,1.0581509321309224,0.8541377335133659,0.5984590546497881
47620,"Warren, PA",Micropolitan Statistical Area,20571,37753,9377376.26868999,,11850688.705339193,9377376.26868999,21228064.974029183,0.5448838502900432,0.10325424453635824,0.10715309363199393,0.10539508976898071,0.10912053344180907
47660,"Warrensburg, MO",Micropolitan Statistical Area,29093,54249,6933601.352940723,,25537169.90780755,6933601.352940723,32470771.260748275,0.5362863831591366,0.07756978817711271,0.23460704864890258,0.1637984321124346,0.15680024948175508
47700,"Warsaw, IN",Micropolitan Statistical Area,41467,80572,13374052.814739732,,28560847.59797617,13374052.814739732,41934900.412715904,0.5146576974631386,0.1559103937613466,0.2734120676480769,0.22043017695766198,0.23288373428531348
47780,"Washington, IN",Micropolitan Statistical Area,16244,33631,9048691.668957181,,12154397.140474232,9048691.668957181,21203088.80943141,0.48300674972495616,0.11239916822274863,0.12397818750905787,0.1187571696815091,0.09720638519273914
47820,"Washington, NC",Micropolitan Statistical Area,23693,44092,10089354.33605172,,20375557.228860505,10089354.33605172,30464911.564912222,0.5373537149596299,0.11265063031663364,0.18681609894492565,0.15337464554354288,0.12744265516690714
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Metropolitan Statistical Area,3265189,6508977,605479725.2738923,805503945.1333921,1950121170.7341619,1410983670.4072843,3361104841.141446,0.5016439603335516,16.875510010860687,19.152746888501213,18.12593330077617,18.813419924256777
47920,"Washington Court House, OH",Micropolitan Statistical Area,14773,28858,4816322.3350103395,,10608344.239143034,4816322.3350103395,15424666.574153375,0.5119204380067919,0.05644735322746167,0.10209634513107588,0.08151306474737353,0.08341059926532265
47940,"Waterloo-Cedar Falls, IA",Metropolitan Statistical Area,88181,168411,32604875.947609283,6511453.10472202,63085209.196148254,39116329.052331306,102201538.24847956,0.5236059402295574,0.44821257104025347,0.5935920047840382,0.5280399406094233,0.48677186336101785
47980,"Watertown, SD",Micropolitan Statistical Area,14735,28489,5179184.33250988,,11249929.04087409,5179184.33250988,16429113.373383969,0.5172171715398926,0.06007848056366814,0.10716227089124836,0.08593203518557647,0.08234404887621377
48020,"Watertown-Fort Atkinson, WI",Micropolitan Statistical Area,45491,85135,10888997.297143731,,31966284.42174081,10888997.297143731,42855281.71888454,0.534339578316791,0.12226469076185069,0.2947405407476888,0.2169706134912051,0.24607254031648915
48060,"Watertown-Fort Drum, NY",Metropolitan Statistical Area,60784,115546,20491189.464788016,,44562296.46043009,20491189.464788016,65053485.925218105,0.5260588856386201,0.23370247694816845,0.4173479292024898,0.33454159159652747,0.33397190043353564
48100,"Wauchula, FL",Micropolitan Statistical Area,10895,24867,2257325.68485411,,7583478.84538446,2257325.68485411,9840804.530238569,0.43813085615474323,0.030911557662009568,0.08527656521548228,0.06076320474745782,0.07187509085628867
48140,"Wausau, WI",Metropolitan Statistical Area,72359,138512,27288757.851921566,,44564066.61402894,27288757.851921566,71852824.4659505,0.5224023911285665,0.3134073076750532,0.42028580168026103,0.3720939376903168,0.4003523780386157
48180,"Waycross, GA",Micropolitan Statistical Area,29080,56061,13109324.022740034,5210137.857187872,26988599.245163124,18319461.879927907,45308061.12509103,0.5187206792600917,0.21188960809805815,0.25633732190650227,0.23629570176151665,0.16203761887217594
48220,"Weatherford, OK",Micropolitan Statistical Area,15029,28667,4968677.895740832,,13210695.089641938,4968677.895740832,18179372.98538277,0.5242613457983046,0.05686218091613904,0.12414890429874924,0.09380909972192061,0.08285853659778933
