user_loc,user_est,pop_est,metro_micro_area,CBSA_code,CBSA_title,inter_county_connections,outer_county_connections,total connections,coverage est,normed pop_est,rescaled inter_county_connections,rescaled outer_county_connections,rescaled total connections
01001,31269,59697,Metropolitan Statistical Area,33860,"Montgomery, AL",8747518.768608395,34633859.64402065,43381378.41262904,0.5237951655862103,0.55854605221453,0.4662753431728453,0.8345464893773918,0.7198958573436303
01003,129723,242880,Metropolitan Statistical Area,19300,"Daphne-Fairhope-Foley, AL",53035163.9989417,115408457.64545055,168443621.64439225,0.5341032608695652,2.272470394858453,2.7724118076495867,2.727241113042572,2.7413037099619135
01005,13328,24800,,,,8029541.08239304,16449081.21107608,24478622.29346912,0.5374193548387097,0.23203749091110684,0.4171540596566876,0.3863131300496908,0.39591456667700403
01007,11904,22127,Metropolitan Statistical Area,13820,"Birmingham-Hoover, AL",5820405.039973632,13326198.138898175,19146603.178871807,0.5379852668685317,0.20702796618508312,0.3020660238558349,0.31264177778597596,0.30934932089702183
01009,31193,59383,Metropolitan Statistical Area,13820,"Birmingham-Hoover, AL",12915767.178946856,27072101.670891356,39987868.84983821,0.5252850142296617,0.5556081581763814,0.6865058618384992,0.6504862023080302,0.6616998875868533
01011,5453,10248,,,,3733435.882780576,8423506.440129934,12156942.32291051,0.532103825136612,0.09588387930875093,0.1958986167668105,0.19980560131288116,0.1985892740166223
01013,9748,18629,,,,6535985.82372684,12937710.828190584,19473696.651917424,0.5232701701647968,0.1742994523460891,0.3487419382189248,0.31206322319267105,0.3234820864495023
01015,62038,115233,Metropolitan Statistical Area,11500,"Anniston-Oxford-Jacksonville, AL",34710994.72801681,59608910.82199634,94319905.55001315,0.5383700849583019,1.07816033024837,1.8001354845960948,1.3974664628297717,1.522825884336782
01017,18544,34619,Micropolitan Statistical Area,46740,"Valley, AL",9765878.102308609,23868404.18722987,33634282.28953848,0.5356596088852942,0.3239074958811132,0.509027742460008,0.5624003877029109,0.5457843492935
01019,13415,24634,,,,5752163.76318836,12906797.51422971,18658961.27741807,0.5445725420151011,0.23048433673807284,0.2949134332924078,0.29913958343737,0.2978238931092433
01021,23654,45167,Metropolitan Statistical Area,13820,"Birmingham-Hoover, AL",13546423.986530975,20782200.084222663,34328624.070753634,0.5237009320964421,0.42259828032185337,0.722204800183412,0.5008634061028326,0.5697716846582136
01023,6656,12400,,,,4034441.80815104,8497494.880223231,12531936.688374272,0.5367741935483871,0.11601874545555342,0.20985092154960638,0.19980686751267746,0.20293379492847766
01025,12041,22548,,,,8603036.47292936,16369986.328808188,24973022.801737547,0.5340163207379812,0.21096698972030795,0.44979672298340967,0.3869055095847773,0.40648488049079584
01027,7643,14295,,,,3805260.2669915482,8483420.907732612,12288681.17472416,0.5346624693948934,0.1337490295392852,0.19871182851493424,0.20026379556451618,0.19978063524917802
01029,7817,15013,,,,3223954.055521152,8472566.738276083,11696520.793797236,0.5206820755345367,0.14046688915517933,0.17287622473446707,0.20537780066292335,0.19525936955395698
01031,28805,54302,Micropolitan Statistical Area,21460,"Enterprise, AL",9609621.16979788,29698175.898891047,39307797.06868893,0.5304592832676512,0.5080685415909244,0.505793526077286,0.706624756393901,0.6441017275733674
01033,30978,57798,Metropolitan Statistical Area,22520,"Florence-Muscle Shoals, AL",19571065.051557943,38391423.524817966,57962488.57637591,0.5359701027717222,0.5407783427290385,1.0195134248221038,0.9040756632737574,0.9400138910129722
01035,6085,11250,,,,2984986.9374507,8503941.199207755,11488928.136658454,0.5408888888888889,0.10525894244959484,0.15408253963458096,0.19843730315728206,0.1846287229196079
01037,5694,10106,Micropolitan Statistical Area,45180,"Talladega-Sylacauga, AL",974353.392580932,7917840.678398664,8892194.070979595,0.5634276667326341,0.09455527754627605,0.048283349019757935,0.17736981681516484,0.13718245684336564
01039,19779,37300,,,,10819429.621361723,17334463.26034207,28153892.881703794,0.5302680965147453,0.3489918714106567,0.5696759965833644,0.4125969638864762,0.46149900403693483
01041,6936,13004,,,,3042885.29804268,7927217.34163368,10970102.63967636,0.5333743463549677,0.12166998112129167,0.15928413133164507,0.18758571783264688,0.1787748326646414
01043,47187,89186,Micropolitan Statistical Area,18980,"Cullman, AL",27512756.023071814,35124158.409894355,62636914.43296617,0.5290852824434328,0.8344554703386281,1.4518691230484186,0.8378984246979909,1.0290405474017585
01045,26118,49144,Micropolitan Statistical Area,37120,"Ozark, AL",6366631.192500852,29936544.377090905,36303175.56959176,0.5314585707309132,0.45980848602159013,0.3344716638683012,0.7109570744621828,0.5937491674052877
01047,18907,37402,Micropolitan Statistical Area,42820,"Selma, AL",15359507.199060192,23685286.897459686,39044794.09651988,0.5055077268595263,0.349946219155533,0.8483372492976328,0.5913736628075617,0.6713718866824928
01049,36944,71433,,,,18853899.42828256,28556818.693193346,47410718.121475905,0.517183934596055,0.6683521809779475,1.0178299206075163,0.6969087640910607,0.7968183383458443
01051,48200,89724,Metropolitan Statistical Area,33860,"Montgomery, AL",19304355.4980298,51964875.979471,71269231.4775008,0.5372029780214881,0.8394891868753287,1.0033118653406168,1.2209070774292612,1.1531650649186556
01053,18065,36576,,,,10333509.12146584,19437276.25201248,29770785.37347832,0.4939031058617673,0.34221787369212275,0.5841509981843811,0.49671214347258985,0.523933716654017
01055,54555,102879,Metropolitan Statistical Area,23460,"Gadsden, AL",35006823.90450507,47948031.17446764,82954855.0789727,0.5302831481643484,0.962571976913055,1.8431638210293937,1.1412323681245553,1.3597585425189442
